#conflict,#confvar,#multiconf,#fold,#multifold
 151000,-2.06680,-2.15848,-2.14348,-2.27005
 152000,-2.06495,-2.15637,-2.14119,-2.26748
 153000,-2.06177,-2.15373,-2.13820,-2.26425
 154000,-2.05833,-2.15011,-2.13457,-2.26091
 155000,-2.05666,-2.14752,-2.13237,-2.25850
 156000,-2.05417,-2.14454,-2.12998,-2.25551
 157000,-2.05062,-2.14176,-2.12699,-2.25266
 158000,-2.04842,-2.13905,-2.12426,-2.24958
 159000,-2.04606,-2.13681,-2.12232,-2.24757
 160000,-2.04357,-2.13391,-2.11936,-2.24475
 161000,-2.04104,-2.13104,-2.11710,-2.24185
 162000,-2.03953,-2.12903,-2.11603,-2.24076
 163000,-2.03720,-2.12690,-2.11407,-2.23827
 164000,-2.03488,-2.12413,-2.11128,-2.23496
 165000,-2.03286,-2.12210,-2.11028,-2.23326
 166000,-2.03118,-2.12011,-2.10919,-2.23194
 167000,-2.03000,-2.11871,-2.10852,-2.23104
 168000,-2.02883,-2.11728,-2.10792,-2.22992
 169000,-2.02646,-2.11493,-2.10513,-2.22734
 170000,-2.02535,-2.11333,-2.10411,-2.22618
 171000,-2.02409,-2.11137,-2.10198,-2.22356
 172000,-2.02364,-2.11023,-2.10119,-2.22234
 173000,-2.02326,-2.10939,-2.10060,-2.22140
 174000,-2.02306,-2.10893,-2.10008,-2.22048
 175000,-2.02294,-2.10870,-2.09980,-2.21979
 176000,-2.02291,-2.10852,-2.09971,-2.21949
 177000,-2.02195,-2.10702,-2.09870,-2.21803
 178000,-2.02133,-2.10638,-2.09844,-2.21753
 179000,-2.02078,-2.10564,-2.09815,-2.21698
 180000,-2.02041,-2.10524,-2.09801,-2.21682
 181000,-2.02024,-2.10508,-2.09791,-2.21673
 182000,-2.01893,-2.10401,-2.09685,-2.21575
 183000,-2.01773,-2.10239,-2.09551,-2.21372
 184000,-2.01582,-2.09968,-2.09277,-2.21101
 185000,-2.01468,-2.09791,-2.09179,-2.20929
 186000,-2.01416,-2.09666,-2.09092,-2.20820
 187000,-2.01355,-2.09556,-2.09029,-2.20715
 188000,-2.01227,-2.09431,-2.08889,-2.20588
 189000,-2.01186,-2.09366,-2.08851,-2.20502
 190000,-2.00992,-2.09154,-2.08689,-2.20323
 191000,-2.00910,-2.09026,-2.08585,-2.20191
 192000,-2.00802,-2.08880,-2.08455,-2.20033
 193000,-2.00211,-2.08654,-2.07738,-2.19773
 194000,-1.99834,-2.08440,-2.07315,-2.19504
 195000,-1.99445,-2.08268,-2.06901,-2.19303
 196000,-1.99208,-2.08091,-2.06640,-2.19146
 197000,-1.99123,-2.07985,-2.06569,-2.19043
 198000,-1.99023,-2.07832,-2.06483,-2.18900
 199000,-1.98543,-2.07616,-2.05882,-2.18675
 200000,-1.98142,-2.07331,-2.05469,-2.18454
 201000,-1.98039,-2.07207,-2.05426,-2.18393
 202000,-1.97998,-2.07150,-2.05408,-2.18364
 203000,-1.97947,-2.07073,-2.05331,-2.18258
 204000,-1.97681,-2.06890,-2.04956,-2.18107
 205000,-1.97313,-2.06664,-2.04499,-2.17898
 206000,-1.97009,-2.06471,-2.04128,-2.17726
 207000,-1.96633,-2.06251,-2.03665,-2.17533
 208000,-1.96313,-2.06065,-2.03266,-2.17345
 209000,-1.95943,-2.05830,-2.02848,-2.17103
 210000,-1.95648,-2.05643,-2.02488,-2.16888
 211000,-1.95556,-2.05539,-2.02373,-2.16730
 212000,-1.95239,-2.05292,-2.02039,-2.16445
 213000,-1.94827,-2.05043,-2.01584,-2.16167
 214000,-1.94574,-2.04839,-2.01342,-2.15961
 215000,-1.94189,-2.04613,-2.00941,-2.15744
 216000,-1.94040,-2.04516,-2.00824,-2.15614
 217000,-1.93699,-2.04311,-2.00410,-2.15428
 218000,-1.93160,-2.03944,-1.99670,-2.15100
 219000,-1.92647,-2.03639,-1.99100,-2.14795
 220000,-1.92480,-2.03476,-1.98977,-2.14684
 221000,-1.92359,-2.03318,-1.98883,-2.14582
 222000,-1.92287,-2.03227,-1.98801,-2.14497
 223000,-1.92208,-2.03139,-1.98709,-2.14375
 224000,-1.92048,-2.02985,-1.98517,-2.14220
 225000,-1.91618,-2.02723,-1.97966,-2.13994
 226000,-1.91447,-2.02583,-1.97820,-2.13861
 227000,-1.91139,-2.02387,-1.97500,-2.13638
 228000,-1.90570,-2.01973,-1.96650,-2.13297
 229000,-1.90290,-2.01780,-1.96264,-2.13164
 230000,-1.89993,-2.01551,-1.95901,-2.12944
 231000,-1.89586,-2.01263,-1.95382,-2.12647
 232000,-1.89262,-2.00968,-1.95054,-2.12371
 233000,-1.89200,-2.00835,-1.95016,-2.12305
 234000,-1.89056,-2.00675,-1.94889,-2.12171
