conflict,value,kind
 142500,      14,"l-restart"
 142500,       5,"g-restart"
 142500,     623,"l-folding"
 142500,    3894,"g-folding"
 142500,    1073,"solved"
 145000,      14,"l-restart"
 145000,       5,"g-restart"
 145000,     757,"l-folding"
 145000,    3903,"g-folding"
 145000,    1073,"solved"
 147500,      28,"l-restart"
 147500,       5,"g-restart"
 147500,     882,"l-folding"
 147500,    3922,"g-folding"
 147500,    1073,"solved"
 150000,      28,"l-restart"
 150000,       5,"g-restart"
 150000,     963,"l-folding"
 150000,    3932,"g-folding"
 150000,    1073,"solved"
 152500,      31,"l-restart"
 152500,       5,"g-restart"
 152500,    1044,"l-folding"
 152500,    3950,"g-folding"
 152500,    1073,"solved"
 155000,      47,"l-restart"
 155000,       5,"g-restart"
 155000,    1118,"l-folding"
 155000,    3957,"g-folding"
 155000,    1073,"solved"
 157500,      59,"l-restart"
 157500,       5,"g-restart"
 157500,    1177,"l-folding"
 157500,    3969,"g-folding"
 157500,    1073,"solved"
 160000,      63,"l-restart"
 160000,       5,"g-restart"
 160000,    1219,"l-folding"
 160000,    3979,"g-folding"
 160000,    1073,"solved"
 162500,      64,"l-restart"
 162500,       5,"g-restart"
 162500,    1259,"l-folding"
 162500,    3987,"g-folding"
 162500,    1073,"solved"
 165000,      64,"l-restart"
 165000,       5,"g-restart"
 165000,    1293,"l-folding"
 165000,    3990,"g-folding"
 165000,    1073,"solved"
 167500,      64,"l-restart"
 167500,       5,"g-restart"
 167500,    1322,"l-folding"
 167500,    3993,"g-folding"
 167500,    1073,"solved"
 170000,      64,"l-restart"
 170000,       5,"g-restart"
 170000,    1350,"l-folding"
 170000,    3996,"g-folding"
 170000,    1073,"solved"
 172500,      64,"l-restart"
 172500,       5,"g-restart"
 172500,    1400,"l-folding"
 172500,    4001,"g-folding"
 172500,    1073,"solved"
 175000,      64,"l-restart"
 175000,       5,"g-restart"
 175000,    1778,"l-folding"
 175000,    4286,"g-folding"
 175000,    1073,"solved"
 177500,      64,"l-restart"
 177500,       5,"g-restart"
 177500,    2412,"l-folding"
 177500,    4819,"g-folding"
 177500,    1079,"solved"
 180000,      64,"l-restart"
 180000,       5,"g-restart"
 180000,    2926,"l-folding"
 180000,    5282,"g-folding"
 180000,    1082,"solved"
 182500,      69,"l-restart"
 182500,       5,"g-restart"
 182500,    3185,"l-folding"
 182500,    5523,"g-folding"
 182500,    1082,"solved"
 185000,      73,"l-restart"
 185000,       5,"g-restart"
 185000,    3399,"l-folding"
 185000,    5719,"g-folding"
 185000,    1082,"solved"
 187500,      75,"l-restart"
 187500,       5,"g-restart"
 187500,    3530,"l-folding"
 187500,    5836,"g-folding"
 187500,    1082,"solved"
 190000,      75,"l-restart"
 190000,       5,"g-restart"
 190000,    3663,"l-folding"
 190000,    5953,"g-folding"
 190000,    1082,"solved"
 192500,      75,"l-restart"
 192500,       5,"g-restart"
 192500,    3771,"l-folding"
 192500,    6052,"g-folding"
 192500,    1082,"solved"
 195000,      75,"l-restart"
 195000,       5,"g-restart"
 195000,    3913,"l-folding"
 195000,    6178,"g-folding"
 195000,    1082,"solved"
 197500,      75,"l-restart"
 197500,       5,"g-restart"
 197500,    4001,"l-folding"
 197500,    6260,"g-folding"
 197500,    1082,"solved"
 200000,      75,"l-restart"
 200000,       5,"g-restart"
 200000,    4159,"l-folding"
 200000,    6408,"g-folding"
 200000,    1082,"solved"
 202500,      75,"l-restart"
 202500,       5,"g-restart"
 202500,    4470,"l-folding"
 202500,    6698,"g-folding"
 202500,    1085,"solved"
 205000,      75,"l-restart"
 205000,       5,"g-restart"
 205000,    4738,"l-folding"
 205000,    6946,"g-folding"
 205000,    1085,"solved"
 207500,      76,"l-restart"
 207500,       5,"g-restart"
 207500,    4989,"l-folding"
 207500,    7148,"g-folding"
 207500,    1085,"solved"
 210000,      76,"l-restart"
 210000,       5,"g-restart"
 210000,    5269,"l-folding"
 210000,    7354,"g-folding"
 210000,    1085,"solved"
 212500,      77,"l-restart"
 212500,       5,"g-restart"
 212500,    5576,"l-folding"
 212500,    7585,"g-folding"
 212500,    1085,"solved"
 215000,      77,"l-restart"
 215000,       5,"g-restart"
 215000,    5781,"l-folding"
 215000,    7737,"g-folding"
 215000,    1085,"solved"
 217500,      77,"l-restart"
 217500,       5,"g-restart"
 217500,    5907,"l-folding"
 217500,    7829,"g-folding"
 217500,    1085,"solved"
 220000,      81,"l-restart"
 220000,       5,"g-restart"
 220000,    6140,"l-folding"
 220000,    8000,"g-folding"
 220000,    1085,"solved"
 222500,      85,"l-restart"
 222500,       5,"g-restart"
 222500,    6335,"l-folding"
 222500,    8148,"g-folding"
 222500,    1085,"solved"
 225000,      85,"l-restart"
 225000,       5,"g-restart"
 225000,    6446,"l-folding"
 225000,    8229,"g-folding"
 225000,    1085,"solved"
 227500,      87,"l-restart"
 227500,       5,"g-restart"
 227500,    6565,"l-folding"
 227500,    8309,"g-folding"
 227500,    1085,"solved"
